# id	file_path	transparent_color_r	g	b
[TEXTURES]
1000	textures\BoundingBoxRender.png	0	0	0
555	textures\tilemap\map1.png	176	224	248
560	textures\tilemap\brick.png	176	224	248
561	textures\tilemap\pipe_below_l.png	176	224	248
562	textures\tilemap\pipe_below_r.png	176	224	248
563	textures\tilemap\pipe_above_l.png	176	224	248
564	textures\tilemap\pipe_above_r.png	176	224	248
570	textures\hold.png	60	188	252

1	textures\mario.png	255	255	255
2	textures\mario2.png	160	208	248
3	textures\background\gach.png	0	0	0
4	textures\ground\fire.png	0	0	0
5	textures\allitem.png	68	145	190
6	textures\HUD.png	176	224	248
7	textures\enemies.png	3	26	110
8	textures\enemies-2.png	255	255	255
9	textures\tilemap\spriteMap1\brickColliBroken.png	176	224	248
10	textures\mariobullet.png	255	255	255
11	textures\enemiesCopy.png	3	26	110

70	textures\misc.png	176	224	248
71	textures\misc2.png	255	255	255
80	textures\die.png	255	255	255
99	textures\brickfloor.png	176	224	248
100	textures\brickFloor\brickFloor39.png	176	224	248
110	textures\wall.png	176	224	248

#150	textures\enemies-2.png	255	255	255
#152	textures\tilemap\spriteMap1\brickColliBroken.png	176	224	248
#20	textures\background\gach.png	0	0	0
#50	textures\ground\fire.png	0	0	0
#60	textures\enemies.png	3	26	110


# id	left	top	right	bottom	texture_id
[SPRITES]


# brick chan
56000	25	0	27	200	1

# ---------Small MARIO 
# idle right
10000	247	0	260	15	1
# walk right
10001	305	0	322	33	1
10002	275	0	292	15	1

#attact right
10003	305	0	330	33	0
10004	275	0	300	33	0
10005	245	0	270	33	0
# sit down right
10006	335	0	360	33	0

# idle left
10014	186	0	200	15	1

#walk left
10015	124	0	141	15	1
10016	155	0	172	15	1

# sit down left
10020	125	0	150	33	0
# attact left
10017	155	0	180	33	0
10018	185	0	210	33	0
10019	215	0	240	33	0
# jump right
10021	395	80	411	97	1

# jump left
10022	35	79	52	96	1

# Simon die 
10099	0	0	32	32	1

# kick right mario level 1
10061	425	80	441	96	1
# kick left mario level 1
10062	5	80	21	96	1

# ----------- BIGGGG Mario
# Idle Left
10023	185	155	200	181	1
# walk left
10025	154	154	172	181	1
10026	124	154	142	181	1
# Idle Right
10024	245	154	260	181	1
# walk right
10027	275	154	292	181	1
10028	305	154	322	181	1
# Idle Left jump
10029	33	274	52	302	1
# Idle Right jump
10030	394	274	412	301	1

# idle right attact
10031	242	633	265	662	1
# idle left attact
10032	181	633	203	662	1
# walk right attact
10033	271	633	294	662	1
10034	302	633	324	662	1
# walk left attact
10035	151	633	174	662	1
10036	121	633	144	662	1
# jump right attact
10037	391	753	416	781	1
# jump left attact
10038	30	753	54	781	1
# sitdown right Simon 
10039	425	228	440	258	1
# sitdown left Simon 
10040	5	228	20	258	1
# sitdown right Simon attact
10041	421	708	444	737	1
# sitdown left Simon attact
10042	1	708	24	737	1
# Simon Level 3 attak right
10043	330	633	355	663	1
# simon level 3 attack left
10044	90	633	116	663	1
# level 1 to 2 ->Idle Left
10045	424	1563	438	1589	1
# level 1 to 2 ->Idle Right
10046	8	1560	23	1586	1
#  level 2 to 3
10047	545	21	559	34	70
# level 2 to 3
10048	560	22	574	34	1

# level 3 wag tail right
10049	302	793	325	821	1
10050	391	753	415	781	1
10051	361	793	385	822	1
# level 3 wag tail left
10052	121	793	144	821	1
10053	30	753	54	781	1
10054	60	793	84	822	1

# mario fly left
10055	60	753	85	782	1
10057	90	713	116	742	1
10058	60	713	86	742	1

# mario fly right
10056	360	753	385	781	1
10059	330	716	356	742	1
10060	360	716	386	742	1

# mario level 2 kick right
10063	422	273	445	301	1
# mario level 2 kick left
10064	1	273	23	301	1

# mario level 3 kick right
10065	421	753	444	782	1
# mario level 3 kick left
10066	1	753	24	782	1

# mario add sprice jump left
10067	60	792	85	823	1 
# mario add sprice jump right
10068	361	792	386	823	1

# mario swing tail in fly left

10069	74	73	98	101	2
10070	107	73	131	101	2
10071	140	73	163	101	2

# mario swing tail in fly right

10072	68	106	91	134	2
10073	101	106	124	134	2
10074	134	106	157	134	2

# MARIO FIRE *****
# idle right
10075	216	683	230	710	10
# walk right
10076	255	683	271	710	10
10077	295	684	311	710	10
# jump
10078	335	684	351	710	10
#kick
10079	252	723	273	750	10

# take tortoiseshell
10102	331	763	345	790	10
10103	357	763	372	790	10
10104	381	764	397	790	10

#turn change direction
10080	215	723	231	751	10
# run fast
10081	213	763	232	790	10
10082	253	763	272	790	10
10083	293	764	312	790	10
# sit
10084	376	688	390	706	10
# shoot fire
10085	366	803	380	830	10
10086	386	803	400	830	10

# idle left
10087	176	683	190	710	10
# walk
10088	135	683	151	710	10
10089	95	684	111	710	10
# jump
10090	55	684	71	710	10
#kick
10091	133	723	154	750	10
# take tortoiseshell
10092	61	763	75	790	10
10093	35	763	50	790	10
10094	10	764	26	790	10
# turn
10095	175	723	191	751	10
# run fast
10096	174	763	193	790	10
10097	134	763	153	790	10
10098	94	764	113	790	10
#sit 
10099	16	688	30	706	10
# shoot fire
10100	26	803	40	830	10
10101	6	803	20	830	10

# MARIO LEVEL 1
# mario turn change direction right
10105	5	0	21	16	1
# mario turn change direction left
10106	426	0	442	16	1
# run fast right
10107	275	0	291	16	1
10108	306	0	321	16	1
10109	335	0	351	16	1
# run fast left
10110	155	0	171	16	1
10111	125	0	141	16	1
10112	95	0	111	16	1

# MARIO LEVEL 2
# mario turn change direction right
10113	5	153	21	182	1
# mario turn change direction left
10114	425	153	442	182	1
# run fast right
10115	334	153	354	182	1
